AI 융합스쿨
NO	과정	차시	구분	활동	링크
1	엔트리	1-2차시	엔트리 작품	간식 영양성분 계산기 프로그램 사용하기(체험)	http://naver.me/5lxY8ir2
2	엔트리	1-2차시	엔트리 작품	건강 강식 홍보 게임 만들기 (실습)	http://naver.me/xfkecFmG
3	엔트리	3-4차시	기타	해양 쓰레기 데이터	http://naver.me/Ftuf8Nqm
4	엔트리	3-4차시	엔트리 작품	해양 쓰레기 줄이기 캠페인 프로그램 만들기 (실습)	http://naver.me/5wA4bWnz
5	엔트리	7-8차시	엔트리 작품	옷 추천 프로그램 만들기 (실습)	http://naver.me/xEA2j4Uf
6	파이썬	1-8차시	기타	코들(실습플랫폼)	https://about.codle.io/
7	파이썬	1-4차시	기타	2019_지식iN_Q&A_통계	http://naver.me/5v4Dcluc
8	파이썬	4-8차시	기타	네이버 VIBE_데이터 셋	http://naver.me/5834NrwL
