                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 2.0632,                 2.4999,                 2.7639,                0.76646,                0.49167,                 0.7175,                0.43101,                 1.5968,                 4.0969,                 2.3814,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.9502,                  2.349,                 2.6677,                0.75077,                  0.525,                0.74082,                0.44896,                 1.5408,                 5.0069,                 2.3353,              0.0006065,              0.0006065,              0.0006065
                     55,                  2.092,                 2.3875,                 2.6193,                0.55908,                0.94599,                0.83778,                0.51523,                 1.4571,                  5.001,                 2.2868,             0.00059413,             0.00059413,             0.00059413
                     56,                  1.852,                 2.3026,                 2.5177,                0.72875,                0.68311,                0.75744,                0.43216,                 1.5588,                 3.6404,                 2.3254,             0.00058175,             0.00058175,             0.00058175
                     57,                 1.9049,                 2.3028,                 2.5562,                0.79909,                0.63287,                0.76864,                0.42752,                 1.6149,                 3.3292,                 2.3461,             0.00056938,             0.00056938,             0.00056938
                     58,                 1.9744,                 2.2102,                 2.6118,                0.53951,                0.65846,                0.76702,                0.47462,                 1.5089,                 3.7045,                 2.2505,               0.000557,               0.000557,               0.000557
                     59,                 1.7841,                 2.3352,                 2.4894,                0.51291,                   0.65,                0.76766,                0.46881,                 1.4901,                 3.7053,                 2.2223,             0.00054463,             0.00054463,             0.00054463
                     60,                 2.1914,                 2.4046,                 2.7633,                0.47222,                0.80949,                0.79927,                0.44311,                 1.6035,                 2.8735,                 2.3088,             0.00053225,             0.00053225,             0.00053225
                     61,                 1.9458,                 2.2835,                 2.5317,                0.50297,                0.83333,                0.80012,                 0.4595,                 1.5529,                 2.6106,                 2.2859,             0.00051988,             0.00051988,             0.00051988
                     62,                 2.0911,                 2.4769,                 2.7037,                0.57805,                  0.875,                0.82461,                0.52508,                 1.4677,                 2.5462,                 2.2065,              0.0005075,              0.0005075,              0.0005075
                     63,                  1.951,                 2.1888,                 2.5328,                0.61825,                0.84286,                0.86744,                0.54254,                 1.4298,                 2.4136,                 2.1644,             0.00049513,             0.00049513,             0.00049513
                     64,                 1.9972,                 2.2344,                 2.5475,                0.66301,                0.82638,                0.87639,                0.57623,                 1.4603,                 2.4783,                 2.1807,             0.00048275,             0.00048275,             0.00048275
                     65,                 1.8812,                 2.1052,                 2.5715,                 0.5482,                0.83414,                0.88879,                 0.5715,                 1.4955,                 2.5678,                  2.184,             0.00047038,             0.00047038,             0.00047038
                     66,                 1.8232,                  2.071,                 2.4829,                0.59685,                 0.8263,                0.90714,                0.53102,                 1.6097,                 2.4757,                 2.2593,               0.000458,               0.000458,               0.000458
                     67,                 1.7727,                 2.0765,                 2.4797,                0.68628,                0.84118,                0.89613,                0.53942,                   1.57,                 2.4341,                 2.2456,             0.00044563,             0.00044563,             0.00044563
                     68,                 1.8317,                 2.2165,                 2.5194,                0.74845,                0.83942,                0.87635,                0.54437,                 1.4922,                 2.2936,                 2.2822,             0.00043325,             0.00043325,             0.00043325
                     69,                 2.0673,                 2.2949,                 2.6304,                0.78798,                 0.7666,                0.89028,                0.55288,                  1.466,                 2.2177,                 2.2932,             0.00042087,             0.00042087,             0.00042087
                     70,                 1.7886,                 2.2279,                 2.5277,                0.82024,                0.83308,                 0.8991,                0.57133,                 1.4284,                 2.1433,                 2.2912,              0.0004085,              0.0004085,              0.0004085
                     71,                 1.7494,                 1.9678,                 2.4731,                0.93759,                0.85612,                0.93132,                0.56829,                 1.4123,                 2.0734,                 2.2781,             0.00039613,             0.00039613,             0.00039613
                     72,                 1.6745,                 1.9392,                 2.3624,                0.91432,                0.84673,                0.91366,                0.62798,                 1.3386,                  2.077,                 2.1759,             0.00038375,             0.00038375,             0.00038375
                     73,                 1.6686,                 1.9859,                 2.4208,                0.89373,                0.80801,                0.88412,                0.59722,                 1.3545,                  2.137,                 2.1582,             0.00037138,             0.00037138,             0.00037138
                     74,                 1.7662,                 2.1181,                 2.4565,                0.86854,                0.76604,                0.87747,                0.56947,                  1.498,                 2.1636,                 2.1984,               0.000359,               0.000359,               0.000359
                     75,                 1.8745,                 2.1274,                 2.5069,                0.76469,                0.86289,                0.92104,                0.55113,                 1.5493,                 2.2333,                 2.2108,             0.00034663,             0.00034663,             0.00034663
                     76,                 1.7669,                 2.0919,                 2.4308,                0.67616,                0.91043,                0.91881,                0.58418,                  1.368,                 2.9697,                 2.1687,             0.00033425,             0.00033425,             0.00033425
                     77,                 1.7976,                 2.1053,                 2.5242,                0.67227,                0.82121,                0.90807,                0.58085,                 1.3698,                 2.9337,                 2.2554,             0.00032188,             0.00032188,             0.00032188
                     78,                 1.6533,                 1.9369,                 2.4172,                0.68432,                   0.75,                0.82739,                0.53061,                 1.3888,                 2.5755,                 2.2493,              0.0003095,              0.0003095,              0.0003095
                     79,                 1.6709,                 2.1367,                 2.3839,                0.76375,                0.86101,                0.93147,                0.59995,                 1.3933,                  2.292,                 2.1749,             0.00029713,             0.00029713,             0.00029713
                     80,                 1.7418,                 2.0165,                 2.4355,                0.80615,                0.87578,                0.91626,                0.62198,                 1.4058,                 2.0438,                 2.1599,             0.00028475,             0.00028475,             0.00028475
                     81,                 1.6665,                 1.9729,                  2.352,                0.84748,                0.90245,                0.95022,                0.64972,                  1.296,                 1.9644,                 2.1087,             0.00027237,             0.00027237,             0.00027237
                     82,                 1.6539,                 1.9271,                 2.3901,                0.93075,                0.90639,                  0.975,                0.65476,                 1.2608,                  1.915,                 2.1181,                0.00026,                0.00026,                0.00026
                     83,                 1.6534,                 1.8786,                 2.2851,                0.92297,                0.86329,                0.96973,                 0.6484,                 1.2539,                 1.9188,                 2.1311,             0.00024762,             0.00024762,             0.00024762
                     84,                 1.5727,                 1.7966,                 2.2974,                0.92847,                0.82866,                 0.9522,                0.65552,                 1.2359,                 1.8627,                 2.1316,             0.00023525,             0.00023525,             0.00023525
                     85,                 1.5985,                 1.8985,                 2.2312,                0.94149,                0.84635,                0.96095,                0.66846,                 1.2907,                 1.8227,                 2.1812,             0.00022288,             0.00022288,             0.00022288
                     86,                 1.6974,                 1.9823,                 2.3239,                0.95115,                0.87354,                0.96848,                0.66954,                 1.2954,                 1.7866,                  2.156,              0.0002105,              0.0002105,              0.0002105
                     87,                 1.5518,                 1.8332,                 2.2581,                0.95485,                0.87619,                0.95225,                0.66602,                 1.2553,                 1.7791,                 2.1151,             0.00019813,             0.00019813,             0.00019813
                     88,                 1.5459,                 1.8054,                 2.2633,                0.96502,                0.91373,                0.95253,                0.65029,                 1.3181,                 1.8224,                 2.1583,             0.00018575,             0.00018575,             0.00018575
                     89,                 1.5663,                 2.0226,                 2.1798,                0.94003,                0.93511,                 0.9551,                0.65303,                 1.3475,                 1.8953,                 2.1859,             0.00017338,             0.00017338,             0.00017338
                     90,                 1.6364,                  1.814,                 2.3081,                0.89001,                0.91318,                0.93969,                0.63897,                 1.3022,                 1.8515,                 2.1445,               0.000161,               0.000161,               0.000161
                     91,                 1.3192,                 1.9355,                 2.2438,                0.88558,                0.91667,                0.91017,                0.64191,                 1.3202,                 1.8628,                 2.1546,             0.00014862,             0.00014862,             0.00014862
                     92,                 1.3413,                 1.9932,                 2.2069,                0.88619,                0.91667,                0.90852,                0.60812,                  1.477,                 1.8997,                 2.2291,             0.00013625,             0.00013625,             0.00013625
                     93,                 1.2086,                  1.776,                 2.0492,                0.89117,                0.91667,                0.90899,                 0.6086,                 1.5301,                 1.8986,                 2.2365,             0.00012387,             0.00012387,             0.00012387
                     94,                 1.2803,                 1.7614,                 2.1311,                0.90365,                0.91667,                0.91091,                0.60625,                  1.504,                 1.8391,                 2.2036,              0.0001115,              0.0001115,              0.0001115
                     95,                 1.2335,                 1.8143,                 2.1252,                0.92643,                0.91634,                 0.9116,                0.61519,                 1.4501,                 1.7951,                 2.1658,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                 1.3554,                   2.03,                 2.2543,                0.92542,                0.90282,                0.93463,                0.67974,                 1.2752,                 1.7766,                 2.0618,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                  1.254,                 1.8395,                 2.0555,                0.91122,                0.89578,                0.94411,                0.68961,                 1.1982,                 1.7579,                 2.0137,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                 1.2481,                 1.8748,                 2.2001,                0.89999,                0.88685,                0.93525,                0.69261,                 1.1764,                 1.7225,                 1.9993,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                 1.4569,                 1.9684,                 2.1734,                0.94545,                0.88038,                0.95185,                0.69763,                 1.1696,                 1.7096,                 1.9892,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                 1.2536,                  1.786,                 2.1956,                0.94199,                0.86654,                0.95145,                0.68702,                 1.1818,                 1.6858,                 1.9927,              3.725e-05,              3.725e-05,              3.725e-05
