                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1764,                 4.8413,                 4.3138,                 0.0004,                    0.1,                0.00062,                  8e-05,                 2.7696,                  5.087,                 4.1588,                  5e-05,                  5e-05,                  5e-05
                      2,                 3.0715,                 4.8268,                 4.2138,                0.00039,                    0.1,                0.00046,                  6e-05,                 2.7694,                 5.0898,                 4.1581,             0.00011139,             0.00011139,             0.00011139
                      3,                 3.1436,                 4.7907,                 4.2273,                0.00039,                    0.1,                0.00064,                  8e-05,                 2.7687,                 5.0906,                 4.1561,             0.00017154,             0.00017154,             0.00017154
                      4,                 3.4502,                 4.8821,                 4.2078,                0.00039,                    0.1,                0.00078,                 0.0001,                 2.7701,                 5.0865,                 4.1535,             0.00023045,             0.00023045,             0.00023045
                      5,                 3.2793,                 5.0215,                 4.2051,                0.00077,                0.18333,                0.00105,                0.00013,                 2.7782,                 5.0653,                 4.1443,             0.00028812,             0.00028812,             0.00028812
                      6,                 3.0034,                 4.7228,                 4.1287,                0.00078,                0.18333,                0.00114,                0.00013,                 2.7744,                 5.0536,                 4.1359,             0.00034456,             0.00034456,             0.00034456
                      7,                 2.9999,                 4.5005,                 4.0787,                0.00097,                0.23333,                0.00146,                 0.0002,                 2.7575,                 5.0229,                  4.117,             0.00039975,             0.00039975,             0.00039975
                      8,                 3.0597,                 4.3468,                 4.0827,                0.00056,                   0.15,                0.00187,                 0.0003,                 2.7382,                  5.002,                 4.1016,             0.00045372,             0.00045372,             0.00045372
                      9,                 2.8783,                 4.4031,                 4.0132,                0.00101,                  0.275,                0.00573,                0.00109,                 2.6795,                 4.9638,                 4.0684,             0.00050644,             0.00050644,             0.00050644
                     10,                 3.0476,                 4.2492,                 3.9747,                 0.0011,                0.33333,                0.18892,                0.02539,                 2.6522,                 4.9653,                 4.0423,             0.00055793,             0.00055793,             0.00055793
                     11,                  2.729,                 4.0951,                 3.8773,                0.00134,                0.45833,                0.03468,                0.01124,                 2.6209,                 4.9054,                 3.9815,             0.00060818,             0.00060818,             0.00060818
                     12,                 2.8371,                 3.8807,                 3.8664,                0.00088,                  0.375,                0.01539,                0.00533,                 2.6383,                 4.8361,                 3.8408,             0.00065719,             0.00065719,             0.00065719
                     13,                  2.748,                 3.8984,                 3.7678,                0.00101,                0.41667,                0.01496,                0.00573,                 2.6265,                 4.8163,                 3.8186,             0.00070496,             0.00070496,             0.00070496
                     14,                 2.8684,                 3.6478,                 3.6484,                0.00116,                0.41667,                 0.0105,                0.00499,                 2.6256,                 4.7334,                 3.8216,              0.0007515,              0.0007515,              0.0007515
                     15,                 2.6453,                  3.636,                 3.6176,                0.00073,                0.33333,                0.00855,                0.00382,                 2.6123,                 4.7846,                 3.7986,             0.00079679,             0.00079679,             0.00079679
                     16,                 2.5389,                 3.5593,                 3.4818,                0.00085,                0.33333,                0.00898,                0.00377,                 2.6514,                 4.7035,                 3.8711,             0.00084086,             0.00084086,             0.00084086
                     17,                 2.7428,                 3.8235,                 3.5518,                0.00148,                  0.375,                0.00824,                0.00219,                 2.6227,                 4.7312,                 4.0867,             0.00088368,             0.00088368,             0.00088368
                     18,                 2.5596,                 3.6213,                 3.3451,                0.00168,                0.41667,                0.00576,                0.00146,                 2.6029,                 4.7646,                 4.1439,             0.00092527,             0.00092527,             0.00092527
                     19,                 2.5607,                 3.5617,                 3.3272,                0.00097,                0.33333,                0.00682,                0.00277,                 2.5651,                 4.7832,                 4.0667,             0.00096562,             0.00096562,             0.00096562
                     20,                 2.6787,                 3.5267,                 3.3289,                0.00093,                0.45833,                0.13028,                0.04324,                 2.6614,                 4.7784,                 3.5592,              0.0010047,              0.0010047,              0.0010047
                     21,                  2.712,                 3.6483,                 3.3876,                0.00094,                0.45833,                0.16786,                0.06952,                 2.5958,                 5.0658,                 3.5639,              0.0010025,              0.0010025,              0.0010025
                     22,                 2.5884,                 3.5393,                 3.2544,                0.00099,                0.45833,                0.14268,                 0.0606,                 2.6173,                 5.7417,                 3.8245,              0.0010025,              0.0010025,              0.0010025
                     23,                  2.582,                 3.4195,                 3.1529,                0.00098,                0.45833,                0.01906,                0.00579,                 2.6126,                 5.7206,                 3.6876,             0.00099013,             0.00099013,             0.00099013
                     24,                   2.53,                  3.368,                 3.2469,                0.00262,                0.41667,                0.00331,                0.00044,                 2.6959,                 4.7156,                 4.2242,             0.00097775,             0.00097775,             0.00097775
                     25,                 2.3866,                 3.1133,                 3.1784,                0.00115,                0.21667,                0.00092,                0.00015,                 2.7222,                 4.8497,                 4.2577,             0.00096537,             0.00096537,             0.00096537
                     26,                 2.7323,                 3.3106,                 3.2071,                0.00199,                0.39167,                0.00763,                 0.0021,                 2.6357,                 4.9134,                 4.0945,               0.000953,               0.000953,               0.000953
                     27,                 2.4628,                 3.3366,                 3.1772,                0.00253,                0.61667,                0.02746,                0.00946,                 2.5913,                 4.8731,                  3.797,             0.00094062,             0.00094062,             0.00094062
                     28,                 2.6064,                 3.2909,                 3.0821,                0.26111,                0.08333,                0.06882,                0.02177,                 2.4644,                  4.779,                  3.529,             0.00092825,             0.00092825,             0.00092825
                     29,                 2.5882,                 3.1338,                 3.1315,                0.37272,                 0.1259,                0.10263,                0.03214,                 2.4827,                  4.706,                 3.6018,             0.00091588,             0.00091588,             0.00091588
                     30,                 2.5278,                 3.1325,                 3.1061,                0.38943,                  0.125,                0.09805,                0.03374,                 2.5333,                 4.6151,                 3.6505,              0.0009035,              0.0009035,              0.0009035
                     31,                 2.4962,                 3.0089,                 3.1285,                0.33247,                  0.125,                 0.0976,                0.02867,                  2.644,                 4.6433,                 3.7196,             0.00089112,             0.00089112,             0.00089112
                     32,                 2.4228,                 2.9987,                 3.0397,                0.41732,                0.29167,                0.19678,                0.04251,                 2.4493,                 4.8756,                 3.3953,             0.00087875,             0.00087875,             0.00087875
                     33,                 2.5189,                 2.9208,                 3.1063,                0.39448,                0.23869,                0.20432,                0.07981,                 2.2556,                 4.0135,                  3.205,             0.00086637,             0.00086637,             0.00086637
                     34,                  2.483,                 2.9411,                  3.083,                0.66141,                0.16667,                0.23162,                0.10415,                 2.0547,                 3.8511,                 3.0247,               0.000854,               0.000854,               0.000854
                     35,                 2.3278,                 2.7666,                 2.9772,                0.44563,                    0.3,                0.27725,                0.09956,                 2.0001,                 4.6427,                 2.8326,             0.00084162,             0.00084162,             0.00084162
                     36,                 2.3957,                 3.0597,                 3.0766,                0.35983,                0.21667,                0.19605,                0.09142,                 1.9306,                  7.443,                 2.6923,             0.00082925,             0.00082925,             0.00082925
                     37,                 2.2518,                 3.0734,                 2.9519,                0.57365,                   0.35,                0.28454,                0.14411,                 1.8824,                 6.4139,                 2.6113,             0.00081688,             0.00081688,             0.00081688
                     38,                 2.3601,                 2.9142,                 2.8768,                0.54809,                   0.35,                0.38138,                0.19811,                 1.9332,                 4.1738,                 2.6091,              0.0008045,              0.0008045,              0.0008045
                     39,                 2.2096,                 2.8796,                 2.8892,                0.37979,                0.61667,                0.49267,                   0.26,                 1.9171,                 3.5929,                  2.619,             0.00079213,             0.00079213,             0.00079213
                     40,                 2.4066,                 2.7997,                 2.9437,                 0.5736,                0.43333,                0.56715,                 0.2759,                 1.7914,                 3.6901,                 2.6647,             0.00077975,             0.00077975,             0.00077975
                     41,                 2.1302,                 2.7711,                 2.7894,                0.56945,                 0.5614,                0.60553,                 0.3071,                 1.7385,                 3.2926,                 2.6797,             0.00076738,             0.00076738,             0.00076738
                     42,                 2.2012,                 2.6231,                 2.7756,                0.52377,                0.59319,                0.73498,                0.39157,                  1.736,                 2.9667,                 2.6423,               0.000755,               0.000755,               0.000755
                     43,                  2.153,                 2.5194,                 2.8135,                0.51606,                0.72039,                0.78531,                0.42172,                 1.7691,                  2.967,                 2.6596,             0.00074263,             0.00074263,             0.00074263
                     44,                 2.0739,                 2.6291,                 2.6875,                0.38083,                0.57035,                0.57285,                0.35376,                 1.8557,                 4.6184,                 2.7431,             0.00073025,             0.00073025,             0.00073025
                     45,                 2.1019,                 2.5433,                 2.8378,                 0.2558,                0.74751,                0.57638,                0.31187,                 1.9773,                 5.8834,                 2.9141,             0.00071788,             0.00071788,             0.00071788
                     46,                 2.2775,                 2.7342,                 2.8954,                0.53837,                0.49124,                0.62229,                0.26737,                 2.0825,                 6.0912,                 2.8863,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.9568,                  2.693,                 2.6743,                0.59726,                  0.675,                0.65488,                0.30176,                 1.9971,                 5.5554,                 2.7327,             0.00069313,             0.00069313,             0.00069313
                     48,                 1.9865,                 2.6517,                 2.7038,                0.66417,                0.73333,                0.77153,                0.39228,                 1.8077,                 3.5524,                 2.5135,             0.00068075,             0.00068075,             0.00068075
                     49,                 2.0608,                 2.5819,                 2.6742,                0.64287,                0.69978,                0.69982,                0.33512,                 1.9662,                 3.0411,                  2.642,             0.00066838,             0.00066838,             0.00066838
                     50,                 2.0992,                 2.6082,                 2.7543,                0.57652,                0.65842,                0.67619,                0.36169,                 1.8135,                 2.8854,                  2.545,               0.000656,               0.000656,               0.000656
                     51,                 2.0597,                 2.4334,                 2.7024,                0.48266,                0.83333,                0.69879,                0.41377,                 1.5877,                 2.7093,                 2.4197,             0.00064362,             0.00064362,             0.00064362
                     52,                  2.076,                 2.4519,                 2.6526,                0.70264,                0.46629,                0.69703,                0.43037,                 1.5739,                 3.2953,                 2.3746,             0.00063125,             0.00063125,             0.00063125
