source,row,expected_class,user_id,status,current_class,current_text,message
student,2,PH_MW_01,ay1601,OK,PH_MW_01,202606_S2_2_10_1900_24_01 (7명) PH_MW_01,
student,3,PH_MW_01,dduk3708,OK,PH_MW_01,202606_S2_2_10_1900_24_01 (7명) PH_MW_01,
student,4,PH_MW_01,porumy,OK,PH_MW_01,202606_S2_2_10_1900_24_01 (7명) PH_MW_01,
student,5,PH_MW_01,kaisthoo,OK,PH_MW_01,202606_S2_2_10_1900_24_01 (7명) PH_MW_01,
student,6,PH_MW_01,gj1030,OK,PH_MW_01,202606_S2_2_10_1900_24_01 (7명) PH_MW_01,
