phase,row,teacher_id,status,message
apply,2,BG_MW_01,OK,saved
apply,3,BG_MW_02,OK,saved
apply,4,BG_MW_03,OK,saved
apply,5,BG_MW_04,OK,saved
apply,6,BG_MW_05,OK,saved
apply,7,BG_MW_06,OK,saved
apply,8,BG_MW_07,OK,saved
apply,9,BG_MW_08,OK,saved
apply,10,BG_MW_09,OK,saved
apply,11,BG_MW_10,OK,saved
apply,12,BG_MW_11,OK,saved
apply,13,BG_MW_12,OK,saved
apply,14,BG_MW_13,OK,saved
apply,15,BG_TT_01,OK,saved
apply,16,BG_TT_02,OK,saved
apply,17,BG_TT_03,OK,saved
apply,18,BG_TT_04,OK,saved
apply,19,BG_TT_05,OK,saved
apply,20,BG_TT_06,OK,saved
apply,21,BG_TT_07,OK,saved
apply,22,BG_TT_08,OK,saved
apply,23,BG_TT_09,OK,saved
apply,24,BG_TT_10,OK,saved
apply,25,BG_TT_11,OK,saved
apply,26,BG_TT_12,OK,saved
apply,27,BG_TT_13,OK,saved
verify,2,BG_MW_01,OK,matched
verify,3,BG_MW_02,OK,matched
verify,4,BG_MW_03,OK,matched
verify,5,BG_MW_04,OK,matched
verify,6,BG_MW_05,OK,matched
verify,7,BG_MW_06,OK,matched
verify,8,BG_MW_07,OK,matched
verify,9,BG_MW_08,OK,matched
verify,10,BG_MW_09,OK,matched
verify,11,BG_MW_10,OK,matched
verify,12,BG_MW_11,OK,matched
verify,13,BG_MW_12,OK,matched
verify,14,BG_MW_13,OK,matched
verify,15,BG_TT_01,OK,matched
verify,16,BG_TT_02,OK,matched
verify,17,BG_TT_03,OK,matched
verify,18,BG_TT_04,OK,matched
verify,19,BG_TT_05,OK,matched
verify,20,BG_TT_06,OK,matched
verify,21,BG_TT_07,OK,matched
verify,22,BG_TT_08,OK,matched
verify,23,BG_TT_09,OK,matched
verify,24,BG_TT_10,OK,matched
verify,25,BG_TT_11,OK,matched
verify,26,BG_TT_12,OK,matched
verify,27,BG_TT_13,OK,matched
